identifiant: 100 
nom:         Mohito 
prenom:      Rairai 
age:         20 
Theorie des Graphes et Recherche Operationnelle: 18.00 
Architecture des Ordinateurs & Assembleur      : 17.00 
Base des Donnees Relationnelles                : 17.00 
Reseaux Informatiques                          : 18.00 
Structure de Donnees en C                      : 15.20 
Langues etrangeres 1                           : 15.50 
Digital Skills                                 : 18.70 
Systemes d'Exploitation et Linux               : 19.50 
Modelisation Oriente Objet                     : 20.00 
Theories des Langages et Compilation           : 15.00 
Developpement Web                              : 20.00 
Programmation Oriente Objet Java               : 17.00 
Langues etrangeres 2                           : 15.50 
Culture & Arts & Sport Skills                  : 14.00 
moyenne generale                               : 17.17 
